question_id,question,option_a,option_b,option_c,option_d,correct_option,difficulty,category,explanation,source,source_url,active,verified_date,content_type
NCQ-062,तलका विकल्पमध्ये २०४८ आमनिर्वाचनमा कांग्रेसको स्थिति सँग मिल्ने तथ्य छान्नुहोस्।,सबैभन्दा सानो दल,निर्वाचन स्थगित,बहुमत प्राप्त,निर्वाचन बहिष्कार,C,medium,निर्वाचन,सही उत्तर: बहुमत प्राप्त। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-063,ज्ञान परीक्षण: २०४८ आमनिर्वाचनमा कांग्रेसको स्थिति — सही विकल्प कुन हो?,बहुमत प्राप्त,निर्वाचन बहिष्कार,सबैभन्दा सानो दल,निर्वाचन स्थगित,A,medium,निर्वाचन,सही उत्तर: बहुमत प्राप्त। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-064,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०४८ आमनिर्वाचनमा कांग्रेसको स्थिति को उत्तर छान्नुहोस्।",सबैभन्दा सानो दल,निर्वाचन स्थगित,बहुमत प्राप्त,निर्वाचन बहिष्कार,C,medium,निर्वाचन,सही उत्तर: बहुमत प्राप्त। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-065,चुनौती: २०४८ आमनिर्वाचनमा कांग्रेसको स्थिति — चार विकल्पमध्ये सही उत्तर कुन हो?,बहुमत प्राप्त,निर्वाचन बहिष्कार,सबैभन्दा सानो दल,निर्वाचन स्थगित,A,medium,निर्वाचन,सही उत्तर: बहुमत प्राप्त। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-066,२०५६ निर्वाचनमा कांग्रेसले जितेको सिट को सही उत्तर कुन हो?,७४,१०९,१२१,११३,D,medium,निर्वाचन,सही उत्तर: ११३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-067,तलका विकल्पमध्ये २०५६ निर्वाचनमा कांग्रेसले जितेको सिट सँग मिल्ने तथ्य छान्नुहोस्।,१२१,११३,७४,१०९,B,medium,निर्वाचन,सही उत्तर: ११३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-068,ज्ञान परीक्षण: २०५६ निर्वाचनमा कांग्रेसले जितेको सिट — सही विकल्प कुन हो?,७४,१०९,१२१,११३,D,medium,निर्वाचन,सही उत्तर: ११३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-069,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०५६ निर्वाचनमा कांग्रेसले जितेको सिट को उत्तर छान्नुहोस्।",१२१,११३,७४,१०९,B,medium,निर्वाचन,सही उत्तर: ११३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-070,चुनौती: २०५६ निर्वाचनमा कांग्रेसले जितेको सिट — चार विकल्पमध्ये सही उत्तर कुन हो?,७४,१०९,१२१,११३,D,medium,निर्वाचन,सही उत्तर: ११३। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — निर्वाचन,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-071,२०६२ मंसिर ७ को १२-बुँदे समझदारी कसबीच को सही उत्तर कुन हो?,केवल विद्यार्थी संगठन,केवल स्थानीय तह,सात राजनीतिक दल र माओवादी,दुई राजदूत,C,medium,आन्दोलन,सही उत्तर: सात राजनीतिक दल र माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-072,तलका विकल्पमध्ये २०६२ मंसिर ७ को १२-बुँदे समझदारी कसबीच सँग मिल्ने तथ्य छान्नुहोस्।,सात राजनीतिक दल र माओवादी,दुई राजदूत,केवल विद्यार्थी संगठन,केवल स्थानीय तह,A,medium,आन्दोलन,सही उत्तर: सात राजनीतिक दल र माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-073,ज्ञान परीक्षण: २०६२ मंसिर ७ को १२-बुँदे समझदारी कसबीच — सही विकल्प कुन हो?,केवल विद्यार्थी संगठन,केवल स्थानीय तह,सात राजनीतिक दल र माओवादी,दुई राजदूत,C,medium,आन्दोलन,सही उत्तर: सात राजनीतिक दल र माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-074,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०६२ मंसिर ७ को १२-बुँदे समझदारी कसबीच को उत्तर छान्नुहोस्।",सात राजनीतिक दल र माओवादी,दुई राजदूत,केवल विद्यार्थी संगठन,केवल स्थानीय तह,A,medium,आन्दोलन,सही उत्तर: सात राजनीतिक दल र माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-075,चुनौती: २०६२ मंसिर ७ को १२-बुँदे समझदारी कसबीच — चार विकल्पमध्ये सही उत्तर कुन हो?,केवल विद्यार्थी संगठन,केवल स्थानीय तह,सात राजनीतिक दल र माओवादी,दुई राजदूत,C,medium,आन्दोलन,सही उत्तर: सात राजनीतिक दल र माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — आन्दोलन,https://nepalicongress.org/achievements/,True,2026-09-25,mcq
NCQ-076,२०६४ संविधानसभा निर्वाचनमा सबैभन्दा ठूलो दल को सही उत्तर कुन हो?,राष्ट्रिय जनमोर्चा,माओवादी,नेपाली कांग्रेस,नेकपा एमाले,B,medium,संविधानसभा,सही उत्तर: माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-077,तलका विकल्पमध्ये २०६४ संविधानसभा निर्वाचनमा सबैभन्दा ठूलो दल सँग मिल्ने तथ्य छान्नुहोस्।,नेपाली कांग्रेस,नेकपा एमाले,राष्ट्रिय जनमोर्चा,माओवादी,D,medium,संविधानसभा,सही उत्तर: माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-078,ज्ञान परीक्षण: २०६४ संविधानसभा निर्वाचनमा सबैभन्दा ठूलो दल — सही विकल्प कुन हो?,राष्ट्रिय जनमोर्चा,माओवादी,नेपाली कांग्रेस,नेकपा एमाले,B,medium,संविधानसभा,सही उत्तर: माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-079,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०६४ संविधानसभा निर्वाचनमा सबैभन्दा ठूलो दल को उत्तर छान्नुहोस्।",नेपाली कांग्रेस,नेकपा एमाले,राष्ट्रिय जनमोर्चा,माओवादी,D,medium,संविधानसभा,सही उत्तर: माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-080,चुनौती: २०६४ संविधानसभा निर्वाचनमा सबैभन्दा ठूलो दल — चार विकल्पमध्ये सही उत्तर कुन हो?,राष्ट्रिय जनमोर्चा,माओवादी,नेपाली कांग्रेस,नेकपा एमाले,B,medium,संविधानसभा,सही उत्तर: माओवादी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-081,२०६५ जेठ १५ को प्रमुख परिवर्तन को सही उत्तर कुन हो?,गणतन्त्र स्थापना,राणा शासन स्थापना,पञ्चायत पुनर्स्थापना,पहिलो आमनिर्वाचन,A,medium,गणतन्त्र,सही उत्तर: गणतन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — गणतन्त्र,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-082,तलका विकल्पमध्ये २०६५ जेठ १५ को प्रमुख परिवर्तन सँग मिल्ने तथ्य छान्नुहोस्।,पञ्चायत पुनर्स्थापना,पहिलो आमनिर्वाचन,गणतन्त्र स्थापना,राणा शासन स्थापना,C,medium,गणतन्त्र,सही उत्तर: गणतन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — गणतन्त्र,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-083,ज्ञान परीक्षण: २०६५ जेठ १५ को प्रमुख परिवर्तन — सही विकल्प कुन हो?,गणतन्त्र स्थापना,राणा शासन स्थापना,पञ्चायत पुनर्स्थापना,पहिलो आमनिर्वाचन,A,medium,गणतन्त्र,सही उत्तर: गणतन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — गणतन्त्र,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-084,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०६५ जेठ १५ को प्रमुख परिवर्तन को उत्तर छान्नुहोस्।",पञ्चायत पुनर्स्थापना,पहिलो आमनिर्वाचन,गणतन्त्र स्थापना,राणा शासन स्थापना,C,medium,गणतन्त्र,सही उत्तर: गणतन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — गणतन्त्र,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-085,चुनौती: २०६५ जेठ १५ को प्रमुख परिवर्तन — चार विकल्पमध्ये सही उत्तर कुन हो?,गणतन्त्र स्थापना,राणा शासन स्थापना,पञ्चायत पुनर्स्थापना,पहिलो आमनिर्वाचन,A,medium,गणतन्त्र,सही उत्तर: गणतन्त्र स्थापना। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — गणतन्त्र,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-086,२०७० दोस्रो संविधानसभामा कांग्रेसको स्थिति को सही उत्तर कुन हो?,निर्वाचन बहिष्कार,सबैभन्दा सानो दल,निर्वाचन स्थगित,पहिलो पार्टीका रूपमा पुनः स्थापित,D,medium,संविधानसभा,सही उत्तर: पहिलो पार्टीका रूपमा पुनः स्थापित। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-087,तलका विकल्पमध्ये २०७० दोस्रो संविधानसभामा कांग्रेसको स्थिति सँग मिल्ने तथ्य छान्नुहोस्।,निर्वाचन स्थगित,पहिलो पार्टीका रूपमा पुनः स्थापित,निर्वाचन बहिष्कार,सबैभन्दा सानो दल,B,medium,संविधानसभा,सही उत्तर: पहिलो पार्टीका रूपमा पुनः स्थापित। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-088,ज्ञान परीक्षण: २०७० दोस्रो संविधानसभामा कांग्रेसको स्थिति — सही विकल्प कुन हो?,निर्वाचन बहिष्कार,सबैभन्दा सानो दल,निर्वाचन स्थगित,पहिलो पार्टीका रूपमा पुनः स्थापित,D,medium,संविधानसभा,सही उत्तर: पहिलो पार्टीका रूपमा पुनः स्थापित। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-089,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०७० दोस्रो संविधानसभामा कांग्रेसको स्थिति को उत्तर छान्नुहोस्।",निर्वाचन स्थगित,पहिलो पार्टीका रूपमा पुनः स्थापित,निर्वाचन बहिष्कार,सबैभन्दा सानो दल,B,medium,संविधानसभा,सही उत्तर: पहिलो पार्टीका रूपमा पुनः स्थापित। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-090,चुनौती: २०७० दोस्रो संविधानसभामा कांग्रेसको स्थिति — चार विकल्पमध्ये सही उत्तर कुन हो?,निर्वाचन बहिष्कार,सबैभन्दा सानो दल,निर्वाचन स्थगित,पहिलो पार्टीका रूपमा पुनः स्थापित,D,medium,संविधानसभा,सही उत्तर: पहिलो पार्टीका रूपमा पुनः स्थापित। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधानसभा,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-091,२०७२ असोज ३ मा के भयो को सही उत्तर कुन हो?,राणा शासन अन्त्य,पञ्चायत अन्त्य,संविधान जारी,पहिलो आमनिर्वाचन,C,medium,संविधान,सही उत्तर: संविधान जारी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधान,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-092,तलका विकल्पमध्ये २०७२ असोज ३ मा के भयो सँग मिल्ने तथ्य छान्नुहोस्।,संविधान जारी,पहिलो आमनिर्वाचन,राणा शासन अन्त्य,पञ्चायत अन्त्य,A,medium,संविधान,सही उत्तर: संविधान जारी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधान,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-093,ज्ञान परीक्षण: २०७२ असोज ३ मा के भयो — सही विकल्प कुन हो?,राणा शासन अन्त्य,पञ्चायत अन्त्य,संविधान जारी,पहिलो आमनिर्वाचन,C,medium,संविधान,सही उत्तर: संविधान जारी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधान,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-094,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०७२ असोज ३ मा के भयो को उत्तर छान्नुहोस्।",संविधान जारी,पहिलो आमनिर्वाचन,राणा शासन अन्त्य,पञ्चायत अन्त्य,A,medium,संविधान,सही उत्तर: संविधान जारी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधान,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-095,चुनौती: २०७२ असोज ३ मा के भयो — चार विकल्पमध्ये सही उत्तर कुन हो?,राणा शासन अन्त्य,पञ्चायत अन्त्य,संविधान जारी,पहिलो आमनिर्वाचन,C,medium,संविधान,सही उत्तर: संविधान जारी। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — संविधान,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-096,संविधान जारी हुँदा तत्कालीन प्रधानमन्त्री को सही उत्तर कुन हो?,कृष्णप्रसाद भट्टराई,सुशील कोइराला,गिरिजाप्रसाद कोइराला,शेरबहादुर देउवा,B,medium,सरकार,सही उत्तर: सुशील कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-097,तलका विकल्पमध्ये संविधान जारी हुँदा तत्कालीन प्रधानमन्त्री सँग मिल्ने तथ्य छान्नुहोस्।,गिरिजाप्रसाद कोइराला,शेरबहादुर देउवा,कृष्णप्रसाद भट्टराई,सुशील कोइराला,D,medium,सरकार,सही उत्तर: सुशील कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-098,ज्ञान परीक्षण: संविधान जारी हुँदा तत्कालीन प्रधानमन्त्री — सही विकल्प कुन हो?,कृष्णप्रसाद भट्टराई,सुशील कोइराला,गिरिजाप्रसाद कोइराला,शेरबहादुर देउवा,B,medium,सरकार,सही उत्तर: सुशील कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-099,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, संविधान जारी हुँदा तत्कालीन प्रधानमन्त्री को उत्तर छान्नुहोस्।",गिरिजाप्रसाद कोइराला,शेरबहादुर देउवा,कृष्णप्रसाद भट्टराई,सुशील कोइराला,D,medium,सरकार,सही उत्तर: सुशील कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-100,चुनौती: संविधान जारी हुँदा तत्कालीन प्रधानमन्त्री — चार विकल्पमध्ये सही उत्तर कुन हो?,कृष्णप्रसाद भट्टराई,सुशील कोइराला,गिरिजाप्रसाद कोइराला,शेरबहादुर देउवा,B,medium,सरकार,सही उत्तर: सुशील कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-101,२०७४ प्रदेश तथा प्रतिनिधि सभा निर्वाचनसँग जोडिएको कांग्रेस नेतृत्व को सही उत्तर कुन हो?,शेरबहादुर देउवा,सुशील कोइराला,बीपी कोइराला,कृष्णप्रसाद भट्टराई,A,hard,सरकार,सही उत्तर: शेरबहादुर देउवा। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-102,तलका विकल्पमध्ये २०७४ प्रदेश तथा प्रतिनिधि सभा निर्वाचनसँग जोडिएको कांग्रेस नेतृत्व सँग मिल्ने तथ्य छान्नुहोस्।,बीपी कोइराला,कृष्णप्रसाद भट्टराई,शेरबहादुर देउवा,सुशील कोइराला,C,hard,सरकार,सही उत्तर: शेरबहादुर देउवा। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-103,ज्ञान परीक्षण: २०७४ प्रदेश तथा प्रतिनिधि सभा निर्वाचनसँग जोडिएको कांग्रेस नेतृत्व — सही विकल्प कुन हो?,शेरबहादुर देउवा,सुशील कोइराला,बीपी कोइराला,कृष्णप्रसाद भट्टराई,A,hard,सरकार,सही उत्तर: शेरबहादुर देउवा। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-104,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०७४ प्रदेश तथा प्रतिनिधि सभा निर्वाचनसँग जोडिएको कांग्रेस नेतृत्व को उत्तर छान्नुहोस्।",बीपी कोइराला,कृष्णप्रसाद भट्टराई,शेरबहादुर देउवा,सुशील कोइराला,C,hard,सरकार,सही उत्तर: शेरबहादुर देउवा। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-105,चुनौती: २०७४ प्रदेश तथा प्रतिनिधि सभा निर्वाचनसँग जोडिएको कांग्रेस नेतृत्व — चार विकल्पमध्ये सही उत्तर कुन हो?,शेरबहादुर देउवा,सुशील कोइराला,बीपी कोइराला,कृष्णप्रसाद भट्टराई,A,hard,सरकार,सही उत्तर: शेरबहादुर देउवा। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://nepalicongress.org/timeline/,True,2026-09-25,mcq
NCQ-106,२०४६ पछि अन्तरिम संयुक्त सरकारको नेतृत्व को सही उत्तर कुन हो?,गिरिजाप्रसाद कोइराला,बीपी कोइराला,सुशील कोइराला,कृष्णप्रसाद भट्टराई,D,hard,सरकार,सही उत्तर: कृष्णप्रसाद भट्टराई। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-107,तलका विकल्पमध्ये २०४६ पछि अन्तरिम संयुक्त सरकारको नेतृत्व सँग मिल्ने तथ्य छान्नुहोस्।,सुशील कोइराला,कृष्णप्रसाद भट्टराई,गिरिजाप्रसाद कोइराला,बीपी कोइराला,B,hard,सरकार,सही उत्तर: कृष्णप्रसाद भट्टराई। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-108,ज्ञान परीक्षण: २०४६ पछि अन्तरिम संयुक्त सरकारको नेतृत्व — सही विकल्प कुन हो?,गिरिजाप्रसाद कोइराला,बीपी कोइराला,सुशील कोइराला,कृष्णप्रसाद भट्टराई,D,hard,सरकार,सही उत्तर: कृष्णप्रसाद भट्टराई। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-109,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०४६ पछि अन्तरिम संयुक्त सरकारको नेतृत्व को उत्तर छान्नुहोस्।",सुशील कोइराला,कृष्णप्रसाद भट्टराई,गिरिजाप्रसाद कोइराला,बीपी कोइराला,B,hard,सरकार,सही उत्तर: कृष्णप्रसाद भट्टराई। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-110,चुनौती: २०४६ पछि अन्तरिम संयुक्त सरकारको नेतृत्व — चार विकल्पमध्ये सही उत्तर कुन हो?,गिरिजाप्रसाद कोइराला,बीपी कोइराला,सुशील कोइराला,कृष्णप्रसाद भट्टराई,D,hard,सरकार,सही उत्तर: कृष्णप्रसाद भट्टराई। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-111,२०४८ पछि कांग्रेसको एकमना सरकारको प्रधानमन्त्री को सही उत्तर कुन हो?,शेरबहादुर देउवा,गगन थापा,गिरिजाप्रसाद कोइराला,कृष्णप्रसाद भट्टराई,C,hard,सरकार,सही उत्तर: गिरिजाप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-112,तलका विकल्पमध्ये २०४८ पछि कांग्रेसको एकमना सरकारको प्रधानमन्त्री सँग मिल्ने तथ्य छान्नुहोस्।,गिरिजाप्रसाद कोइराला,कृष्णप्रसाद भट्टराई,शेरबहादुर देउवा,गगन थापा,A,hard,सरकार,सही उत्तर: गिरिजाप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-113,ज्ञान परीक्षण: २०४८ पछि कांग्रेसको एकमना सरकारको प्रधानमन्त्री — सही विकल्प कुन हो?,शेरबहादुर देउवा,गगन थापा,गिरिजाप्रसाद कोइराला,कृष्णप्रसाद भट्टराई,C,hard,सरकार,सही उत्तर: गिरिजाप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-114,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, २०४८ पछि कांग्रेसको एकमना सरकारको प्रधानमन्त्री को उत्तर छान्नुहोस्।",गिरिजाप्रसाद कोइराला,कृष्णप्रसाद भट्टराई,शेरबहादुर देउवा,गगन थापा,A,hard,सरकार,सही उत्तर: गिरिजाप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-115,चुनौती: २०४८ पछि कांग्रेसको एकमना सरकारको प्रधानमन्त्री — चार विकल्पमध्ये सही उत्तर कुन हो?,शेरबहादुर देउवा,गगन थापा,गिरिजाप्रसाद कोइराला,कृष्णप्रसाद भट्टराई,C,hard,सरकार,सही उत्तर: गिरिजाप्रसाद कोइराला। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — सरकार,https://app.nepalicongress.org/history/,True,2026-09-25,mcq
NCQ-116,कांग्रेसको घोषणापत्रका नीतिगत आधारस्तम्भ संख्या को सही उत्तर कुन हो?,८,६,४,५,B,hard,घोषणापत्र,सही उत्तर: ६। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — घोषणापत्र,https://nepalicongress.org/manifesto/,True,2026-09-25,mcq
NCQ-117,तलका विकल्पमध्ये कांग्रेसको घोषणापत्रका नीतिगत आधारस्तम्भ संख्या सँग मिल्ने तथ्य छान्नुहोस्।,४,५,८,६,D,hard,घोषणापत्र,सही उत्तर: ६। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — घोषणापत्र,https://nepalicongress.org/manifesto/,True,2026-09-25,mcq
NCQ-118,ज्ञान परीक्षण: कांग्रेसको घोषणापत्रका नीतिगत आधारस्तम्भ संख्या — सही विकल्प कुन हो?,८,६,४,५,B,hard,घोषणापत्र,सही उत्तर: ६। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — घोषणापत्र,https://nepalicongress.org/manifesto/,True,2026-09-25,mcq
NCQ-119,"यदि तपाईंलाई इतिहास/सिद्धान्त थाहा छ भने, कांग्रेसको घोषणापत्रका नीतिगत आधारस्तम्भ संख्या को उत्तर छान्नुहोस्।",४,५,८,६,D,hard,घोषणापत्र,सही उत्तर: ६। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — घोषणापत्र,https://nepalicongress.org/manifesto/,True,2026-09-25,mcq
NCQ-120,चुनौती: कांग्रेसको घोषणापत्रका नीतिगत आधारस्तम्भ संख्या — चार विकल्पमध्ये सही उत्तर कुन हो?,८,६,४,५,B,hard,घोषणापत्र,सही उत्तर: ६। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — घोषणापत्र,https://nepalicongress.org/manifesto/,True,2026-09-25,mcq
NCQ-121,घोषणापत्रको पहिलो स्तम्भ को सही उत्तर कुन हो?,समावेशी लोकतन्त्र र सुशासन,आर्थिक सुधार र रोजगारी,युवा र ज्ञान–आधारित अर्थतन्त्र,हरित विकास र जलवायु अनुकूलन,A,hard,घोषणापत्र,सही उत्तर: समावेशी लोकतन्त्र र सुशासन। स्रोतमा यो तथ्य उल्लेख गरिएको छ।,नेपाली कांग्रेस — घोषणापत्र,https://nepalicongress.org/manifesto/,True,2026-09-25,mcq
